transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,event_time,time_since_last_tx_tmp,time_since_last_transaction_imp,hour_of_day,day_of_week,is_weekend,month,txns_1h,amt_24h,uniq_rcv_7d,avg_gap_mins_10
T1175099,2023-12-04T18:02:09.528Z,ACC142926,ACC855456,550.64,deposit,travel,Toronto,mobile,False,3243.7870801641666,-0.15,13.0,0.97,ACH,119.0.196.150,D8928227,2023-12-04T18:02:09.528Z,3243.7870801641666,3243.7870801641666,18,2,0,12,0,0.0,0,54577.15208333333
T4158010,2023-12-04T06:32:11.558Z,ACC473777,ACC484239,141.87,payment,utilities,Tokyo,atm,False,7666.280729218889,0.66,16.0,0.43,wire_transfer,196.208.220.167,D6132192,2023-12-04T06:32:11.558Z,7666.280729218889,7666.280729218889,6,2,0,12,0,0.0,0,109694.29583333334
T242501,2023-11-29T00:09:46.319Z,ACC637940,ACC864815,749.81,deposit,utilities,New York,atm,False,,0.84,15.0,0.96,ACH,7.21.40.18,D3423783,2023-11-29T00:09:46.319Z,,2566.543702108889,0,4,0,11,0,0.0,0,132276.43333333332
T1169072,2023-11-09T15:45:13.340Z,ACC862206,ACC834262,38.34,transfer,online,New York,atm,False,,-1.68,1.0,0.85,UPI,203.159.155.54,D2165891,2023-11-09T15:45:13.340Z,,2566.543702108889,15,5,0,11,0,0.0,0,78177.44166666667
T2686619,2023-12-13T01:13:18.236Z,ACC966641,ACC397838,369.27,deposit,utilities,London,web,False,4857.967052391945,-0.91,18.0,0.18,ACH,230.186.145.40,D6853986,2023-12-13T01:13:18.236Z,4857.967052391945,4857.967052391945,1,4,0,12,0,0.0,0,116472.05555555556
T4338194,2023-12-02T03:53:32.039Z,ACC564872,ACC479047,29.86,payment,entertainment,Tokyo,pos,False,3061.733585533611,-0.3,2.0,0.83,card,234.36.208.223,D1249174,2023-12-02T03:53:32.039Z,3061.733585533611,3061.733585533611,3,7,1,12,0,0.0,0,41586.66190476191
T2505956,2023-12-04T15:30:04.112Z,ACC227367,ACC738274,42.47,transfer,restaurant,New York,mobile,False,3463.066025533611,0.3,8.0,0.76,UPI,0.76.36.177,D2903464,2023-12-04T15:30:04.112Z,3463.066025533611,3463.066025533611,15,2,0,12,0,0.0,0,9999.0
T1016327,2023-11-17T11:01:27.277Z,ACC517391,ACC309201,954.61,deposit,travel,Dubai,mobile,False,,0.61,4.0,0.84,UPI,105.63.171.84,D9782283,2023-11-17T11:01:27.277Z,,2566.543702108889,11,6,0,11,0,0.0,0,92630.15
T3608148,2023-12-14T04:21:34.292Z,ACC380536,ACC644222,405.85,withdrawal,other,London,web,False,724.1643796572223,-0.54,6.0,0.86,UPI,17.114.98.242,D4689175,2023-12-14T04:21:34.292Z,724.1643796572223,724.1643796572223,4,5,0,12,0,0.0,0,107749.875
T711102,2023-12-27T19:55:06.695Z,ACC833956,ACC621141,27.77,transfer,travel,New York,atm,False,6003.413434353333,-0.54,6.0,0.81,card,252.212.95.45,D8020747,2023-12-27T19:55:06.695Z,6003.413434353333,6003.413434353333,19,4,0,12,0,0.0,0,59616.34583333333
T5002595,2023-11-15T08:50:55.543Z,ACC817079,ACC225741,32.39,transfer,online,London,mobile,False,5342.4093859175,-1.31,20.0,0.51,UPI,188.187.2.115,D6997749,2023-11-15T08:50:55.543Z,5342.4093859175,5342.4093859175,8,4,0,11,0,0.0,0,157007.28333333333
T2676974,2023-12-02T12:13:48.413Z,ACC308115,ACC320451,852.94,deposit,grocery,Singapore,pos,False,3275.188525550278,-1.45,13.0,0.09,card,87.223.159.41,D1853402,2023-12-02T12:13:48.413Z,3275.188525550278,3275.188525550278,12,7,1,12,0,0.0,0,54987.41111111111
T1305744,2023-11-24T22:55:32.355Z,ACC275535,ACC556182,14.05,transfer,utilities,Dubai,mobile,False,7622.495367259999,0.48,7.0,0.62,UPI,208.169.79.210,D1964324,2023-11-24T22:55:32.355Z,7622.495367259999,7622.495367259999,22,6,0,11,0,0.0,0,59673.4
T2215825,2023-12-06T23:58:43.844Z,ACC167306,ACC774328,46.28,payment,grocery,London,pos,False,3565.55189358,1.53,5.0,0.04,UPI,175.72.138.161,D1246291,2023-12-06T23:58:43.844Z,3565.55189358,3565.55189358,23,4,0,12,0,0.0,0,56114.54047619047
T3981997,2023-12-08T13:09:09.196Z,ACC977008,ACC672774,34.05,payment,entertainment,Dubai,atm,False,7853.288457213888,-1.2,11.0,0.44,card,111.205.64.170,D3489227,2023-12-08T13:09:09.196Z,7853.288457213888,7853.288457213888,13,6,0,12,0,0.0,0,175234.25
T4995817,2023-11-28T18:50:36.264Z,ACC597936,ACC445045,18.95,transfer,grocery,Sydney,pos,False,892.7342985322222,-0.67,9.0,0.14,ACH,18.135.249.219,D8443547,2023-11-28T18:50:36.264Z,892.7342985322222,892.7342985322222,18,3,0,11,0,0.0,0,394218.7333333333
T4627091,2023-12-27T07:20:55.006Z,ACC549790,ACC684773,280.07,withdrawal,online,Berlin,mobile,False,3672.0107056577776,0.7,20.0,0.06,card,142.195.79.86,D6746550,2023-12-27T07:20:55.006Z,3672.0107056577776,3672.0107056577776,7,4,0,12,0,0.0,0,67745.05
T2432872,2023-12-26T19:53:50.077Z,ACC318579,ACC913113,143.06,payment,travel,Singapore,pos,False,,0.93,19.0,0.2,card,18.3.58.59,D1873019,2023-12-26T19:53:50.077Z,,2566.543702108889,19,3,0,12,0,0.0,0,216147.75833333333
T3884218,2023-12-05T09:47:01.147Z,ACC654702,ACC923906,161.86,payment,travel,Berlin,pos,False,6842.480178518334,-1.22,4.0,0.54,ACH,112.240.150.218,D6722611,2023-12-05T09:47:01.147Z,6842.480178518334,6842.480178518334,9,3,0,12,0,0.0,0,54257.24722222221
T1338350,2023-11-18T09:30:18.610Z,ACC395388,ACC459346,16.15,transfer,restaurant,Sydney,web,False,,1.44,15.0,0.61,UPI,67.215.233.71,D5647386,2023-11-18T09:30:18.610Z,,2566.543702108889,9,7,1,11,0,0.0,0,98734.76666666666
T3725462,2023-11-24T10:54:17.539Z,ACC787869,ACC198465,227.13,withdrawal,entertainment,Sydney,atm,False,2808.269215640556,1.14,14.0,0.22,ACH,230.107.115.59,D8134805,2023-11-24T10:54:17.539Z,2808.269215640556,2808.269215640556,10,6,0,11,0,0.0,0,67070.39
T1526637,2023-11-21T07:29:26.110Z,ACC475708,ACC294518,8.81,transfer,utilities,Tokyo,pos,False,1076.2129238194443,-0.39,19.0,0.93,card,178.71.196.138,D1151383,2023-11-21T07:29:26.110Z,1076.2129238194443,1076.2129238194443,7,3,0,11,0,0.0,0,57528.943333333336
T2922447,2023-12-21T08:39:49.679Z,ACC431571,ACC489139,751.8,deposit,retail,Sydney,web,False,7432.549118352777,-0.86,15.0,0.41,UPI,178.138.72.23,D3005380,2023-12-21T08:39:49.679Z,7432.549118352777,7432.549118352777,8,5,0,12,0,0.0,0,127421.10833333334
T4808733,2023-12-18T12:47:01.153Z,ACC701678,ACC489063,1195.51,deposit,restaurant,Singapore,mobile,False,3826.244874716389,-2.77,19.0,0.51,wire_transfer,112.12.249.26,D7112549,2023-12-18T12:47:01.153Z,3826.244874716389,3826.244874716389,12,2,0,12,0,0.0,0,64706.17666666666
T2350957,2023-11-23T00:48:51.193Z,ACC254936,ACC355557,151.9,payment,retail,New York,mobile,False,,0.17,10.0,0.52,wire_transfer,218.87.208.50,D3674216,2023-11-23T00:48:51.193Z,,2566.543702108889,0,5,0,11,0,0.0,0,9999.0
T3174858,2023-12-18T20:05:01.138Z,ACC893948,ACC116780,1055.89,deposit,retail,Tokyo,pos,False,97.43515912972222,0.95,6.0,0.17,ACH,6.31.197.160,D2439514,2023-12-18T20:05:01.138Z,97.43515912972222,97.43515912972222,20,2,0,12,0,0.0,1,123931.01666666668
T4449010,2023-12-26T03:30:53.653Z,ACC517689,ACC266993,77.49,transfer,entertainment,Singapore,atm,False,6028.5474565275,0.63,4.0,0.62,wire_transfer,122.165.111.245,D9316836,2023-12-26T03:30:53.653Z,6028.5474565275,6028.5474565275,3,3,0,12,0,0.0,0,58621.89722222223
T2698162,2023-11-16T13:08:08.250Z,ACC658989,ACC758459,30.13,transfer,entertainment,Sydney,mobile,False,-330.58122899833336,-1.05,9.0,0.69,wire_transfer,86.11.173.62,D7433017,2023-11-16T13:08:08.250Z,330.58122899833336,330.58122899833336,13,5,0,11,0,0.0,0,76797.99583333333
T3812300,2023-12-25T16:15:17.584Z,ACC383152,ACC551601,194.42,deposit,retail,Singapore,web,False,7817.664297843056,-0.54,20.0,0.33,UPI,239.238.227.160,D7435657,2023-12-25T16:15:17.584Z,7817.664297843056,7817.664297843056,16,2,0,12,0,0.0,0,77741.90000000001
T4030703,2023-11-21T17:24:03.847Z,ACC975835,ACC720403,9.42,transfer,travel,Dubai,atm,False,4258.54732305889,1.8,2.0,0.1,card,33.113.19.125,D5152453,2023-11-21T17:24:03.847Z,4258.54732305889,4258.54732305889,17,3,0,11,0,0.0,0,36490.53888888889
T1531810,2023-12-28T21:05:05.261Z,ACC680230,ACC972882,549.84,withdrawal,other,London,atm,False,7604.377854336667,0.45,14.0,0.92,UPI,185.126.255.253,D8047494,2023-12-28T21:05:05.261Z,7604.377854336667,7604.377854336667,21,5,0,12,0,0.0,0,193337.025
T1103433,2023-12-24T18:33:22.839Z,ACC312589,ACC690268,253.42,deposit,online,New York,mobile,False,-161.4715591925,1.48,1.0,0.34,UPI,200.98.169.244,D2532015,2023-12-24T18:33:22.839Z,161.4715591925,161.4715591925,18,1,1,12,0,0.0,0,98038.74583333332
T4573623,2023-11-17T03:34:08.685Z,ACC894500,ACC850646,406.65,withdrawal,travel,Berlin,web,False,-794.5677770786111,-1.35,19.0,0.92,UPI,172.145.51.40,D5213327,2023-11-17T03:34:08.685Z,794.5677770786111,794.5677770786111,3,6,0,11,0,0.0,0,232315.4333333333
T780106,2023-11-19T11:18:36.648Z,ACC496137,ACC552945,564.95,withdrawal,travel,Sydney,pos,False,2469.453697893611,1.04,3.0,0.67,card,160.174.225.217,D9055083,2023-11-19T11:18:36.648Z,2469.453697893611,2469.453697893611,11,1,1,11,0,0.0,0,82518.31666666667
T1525776,2023-11-21T21:02:53.205Z,ACC159044,ACC208485,1038.68,deposit,entertainment,London,web,False,,0.87,20.0,0.06,ACH,14.119.175.132,D7501838,2023-11-21T21:02:53.205Z,,2566.543702108889,21,3,0,11,0,0.0,0,61123.67857142857
T1002562,2023-12-13T14:45:18.545Z,ACC444240,ACC881024,912.57,deposit,utilities,Singapore,pos,False,5243.983385403612,0.69,17.0,0.02,UPI,108.110.115.184,D9820453,2023-12-13T14:45:18.545Z,5243.983385403612,5243.983385403612,14,4,0,12,0,0.0,0,99781.2375
T3560653,2023-11-25T04:02:39.045Z,ACC797370,ACC261386,127.55,payment,online,Toronto,atm,False,4266.740676188333,-1.27,7.0,0.37,UPI,20.122.6.57,D6382120,2023-11-25T04:02:39.045Z,4266.740676188333,4266.740676188333,4,7,1,11,0,0.0,0,69047.50277777777
T2755236,2023-11-17T15:22:07.652Z,ACC935428,ACC958349,113.8,payment,utilities,Sydney,atm,False,1855.2429059166664,0.31,7.0,0.02,ACH,39.89.119.162,D7783943,2023-11-17T15:22:07.652Z,1855.2429059166664,1855.2429059166664,15,6,0,11,0,0.0,0,93637.97777777778
T2911706,2023-11-18T22:55:02.240Z,ACC749729,ACC281088,4.97,transfer,retail,London,pos,False,,-1.06,2.0,0.49,card,74.191.23.240,D9693287,2023-11-18T22:55:02.240Z,,2566.543702108889,22,7,1,11,0,0.0,0,34047.066666666666
T3605288,2023-12-31T22:30:40.676Z,ACC313808,ACC144410,36.29,transfer,utilities,London,atm,False,836.5778703583334,-0.26,5.0,0.21,UPI,236.31.51.72,D4962081,2023-12-31T22:30:40.676Z,836.5778703583334,836.5778703583334,22,1,1,12,0,0.0,0,113116.99166666664
